time_category,fatal_count,total_count,fatality_rate,fatality_pct
0-5 min,1263,6319,0.19987339768950782,19.987339768950783
5-10 min,1952,9405,0.2075491759702286,20.75491759702286
10-15 min,285,1334,0.2136431784107946,21.364317841079462
15-20 min,69,260,0.2653846153846154,26.53846153846154
20+ min,19,62,0.3064516129032258,30.64516129032258
