GEOID,NAME,early_avg_density,recent_avg_density,pct_change,trend,total_population
42101036501,365.01,0.0,0.9470075023880972,100.0,Increasing,4831
42101000801,8.01,0.0,0.0,0.0,Stable,1735
42101026301,263.01,12.748498703859449,4.24949956795315,-66.66666666666666,Decreasing,4007
42101029200,292,0.973144999051104,2.919434997153312,199.99999999999997,Increasing,4417
42101024400,244,36.896460211817846,20.498033451009913,-44.44444444444445,Decreasing,3210
42101033200,332,0.0,6.146983975241745,100.0,Increasing,3077
42101980200,9802,0.0,0.16707640149892322,100.0,Increasing,405
42101000200,2,4.470607268549035,6.705910902823551,49.99999999999998,Increasing,3486
42101000300,3,1.517450504612132,1.517450504612132,0.0,Stable,3914
42101038100,381,0.3476931258789966,1.04307937763699,200.00000000000006,Increasing,780
42101037200,372,1.680957065790956,5.042871197372868,200.0,Increasing,3918
42101038400,384,0.0,0.3332737137029074,100.0,Increasing,2529
42101038700,387,0.0,0.41638362826605396,100.0,Increasing,2559
42101038800,388,0.0,0.0,0.0,Stable,3956
42101038900,389,3.3710593759311624,6.067906876676093,80.00000000000003,Increasing,3429
42101037900,379,1.8349107883835758,1.223273858922384,-33.33333333333333,Decreasing,5105
42101038200,382,2.812377068824814,13.593155832653267,383.3333333333333,Increasing,2819
42101038000,380,2.9386539651044874,4.897756608507479,66.66666666666667,Increasing,2545
42101001001,10.01,0.0,0.0,0.0,Stable,2717
42101037300,373,0.3159167850823457,0.9477503552470371,199.99999999999994,Increasing,6427
42101038600,386,0.0,0.0,0.0,Stable,1395
42101980400,9804,0.0,0.8730683662113462,100.0,Increasing,0
42101038500,385,0.0,0.0,0.0,Stable,1843
42101025500,255,5.631106518857224,1.1262213037714448,-80.0,Decreasing,2808
42101025600,256,0.9955003987064918,0.0,-100.0,Decreasing,2814
42101025700,257,0.0,1.1559043793587362,100.0,Increasing,3737
42101025800,258,1.4715157274066029,0.0,-100.0,Decreasing,1845
42101025900,259,4.714275411042295,1.5714251370140984,-66.66666666666666,Decreasing,4311
42101017602,176.02,133.66607233305123,47.4298966343085,-64.51612903225806,Decreasing,4074
42101017800,178,70.3586613430164,95.11448663037402,35.18518518518519,Increasing,6592
42101017900,179,26.5965244774488,18.13399396189691,-31.818181818181817,Decreasing,6675
42101017701,177.01,200.5678374664503,171.91528925695738,-14.285714285714295,Stable,3175
42101035601,356.01,0.0,0.0,0.0,Stable,5287
42101013402,134.02,0.0,10.854658416354459,100.0,Increasing,2929
42101013601,136.01,0.0,4.924407056589385,100.0,Increasing,2882
42101008801,88.01,0.0,4.674951476448124,100.0,Increasing,2231
42101980500,9805,8.299693217714625,4.149846608857312,-50.0,Decreasing,0
42101015200,152,56.77376868866225,56.77376868866225,0.0,Stable,5975
42101018300,183,0.8974757872121777,0.8974757872121777,0.0,Stable,3998
42101018400,184,0.37225707667705416,0.0,-100.0,Decreasing,2202
42101019000,190,15.403139638732618,15.40313963873262,1.1532433523704718e-14,Stable,7729
42101019700,197,55.56603445781846,44.06961353551119,-20.6896551724138,Stable,6746
42101019100,191,7.146366082547547,7.74189658942651,8.333333333333343,Stable,8628
42101019200,192,54.263003128463886,43.92719300875647,-19.04761904761907,Stable,8914
42101020500,205,12.682923683648006,8.455282455765337,-33.333333333333336,Decreasing,3143
42101020600,206,0.0,0.0,0.0,Stable,2009
42101020800,208,0.9642251023846886,0.0,-100.0,Decreasing,2528
42101019800,198,62.31701356086279,46.338292135000536,-25.64102564102564,Decreasing,6456
42101019900,199,69.13239580887071,58.697317196210975,-15.09433962264152,Stable,5166
42101020000,200,54.50978422142143,95.3921223874875,75.00000000000001,Increasing,1146
42101020200,202,28.519423301840323,20.53398477732503,-28.000000000000004,Decreasing,4252
42101020300,203,62.859295590806305,50.96699642497808,-18.91891891891893,Stable,2564
42101020400,204,67.81873728285156,40.26737526169311,-40.625,Decreasing,3981
42101021400,214,1.30422045641101,2.60844091282202,100.0,Increasing,3520
42101021500,215,0.0,0.8397336510344369,100.0,Increasing,3995
42101020900,209,0.0,0.0,0.0,Stable,3366
42101021000,210,0.9446543625947136,0.9446543625947136,0.0,Stable,5214
42101021100,211,0.0,1.5583594461412391,100.0,Increasing,2581
42101021200,212,0.0,0.0,0.0,Stable,2967
42101016200,162,33.11627187362988,16.55813593681494,-50.0,Decreasing,2324
42101015600,156,18.08818227207031,12.058788181380207,-33.33333333333333,Decreasing,1664
42101015700,157,5.339510173838576,3.5596734492257176,-33.33333333333333,Decreasing,2493
42101015800,158,0.0,0.0,0.0,Stable,6849
42101016100,161,12.198394477134046,6.099197238567023,-50.0,Decreasing,6125
42101039001,390.01,11.897826336666691,9.152174105128227,-23.076923076923055,Stable,4047
42101016300,163,21.122481451112353,33.19247085174799,57.14285714285718,Increasing,2615
42101016400,164,65.85352311858713,71.19299796604014,8.108108108108098,Stable,4019
42101016500,165,48.125993425688215,76.56408044995852,59.09090909090909,Increasing,2850
42101016600,166,49.59251063514284,23.14317162973332,-53.33333333333334,Decreasing,2244
42101016002,160.02,6.62381311221129,6.62381311221129,0.0,Stable,4404
42101016001,160.01,5.232142384650545,10.46428476930109,100.0,Increasing,2585
42101039002,390.02,9.526093107283558,16.670662937746226,75.0,Increasing,4685
42101018801,188.01,58.78496955822997,35.69087437463963,-39.28571428571428,Decreasing,3794
42101004104,41.04,4.287976123643536,25.727856741861213,500.0,Increasing,3697
42101004103,41.03,18.12588812365361,18.12588812365361,0.0,Stable,5000
42101980001,9800.01,1.6089720082402692,7.508536038454589,366.66666666666663,Increasing,0
