time_interval,shooting_count,percentage
0-5 min,6319,36.35788262370541
5-10 min,9405,54.11392405063291
10-15 min,1334,7.675489067894131
15-20 min,260,1.4959723820483315
20-30 min,62,0.3567318757192175
30+ min,0,0.0
