race,total_shootings,within_10_min,pct_within_10,within_20_min,pct_within_20,beyond_20_min,pct_beyond_20,avg_time_min
Black,14091,12883,91.42715208288979,14061,99.78709814775388,30,0.21290185224611455,8.759137037825562
White,2989,2589,86.61759785881566,2960,99.02977584476413,29,0.9702241552358649,8.825694212111074
Asian,119,93,78.15126050420169,119,100.0,0,0.0,10.084033613445378
