GEOID,tract_name,total_population,black_alone,pct_black,white_alone,pct_white,asian_alone,pct_asian,hispanic_latino,pct_hispanic,median_household_income,below_poverty,pct_poverty
42101013702,Census Tract 137.02; Philadelphia County; Pennsylvania,4189,2222,53.0,1636,39.1,109,2.6,350,8.4,76000,1287,30.7
42101013800,Census Tract 138; Philadelphia County; Pennsylvania,2077,1292,62.2,561,27.0,66,3.2,121,5.8,68864,192,9.2
42101013900,Census Tract 139; Philadelphia County; Pennsylvania,2585,1334,51.6,1058,40.9,7,0.3,545,21.1,41042,722,32.8
42101014000,Census Tract 140; Philadelphia County; Pennsylvania,5753,2487,43.2,2311,40.2,358,6.2,334,5.8,59375,1585,27.6
42101014100,Census Tract 141; Philadelphia County; Pennsylvania,2982,1511,50.7,783,26.3,427,14.3,223,7.5,21081,1302,43.7
42101014201,Census Tract 142.01; Philadelphia County; Pennsylvania,3295,188,5.7,2656,80.6,179,5.4,301,9.1,126809,76,2.3
42101014202,Census Tract 142.02; Philadelphia County; Pennsylvania,2273,139,6.1,1775,78.1,130,5.7,213,9.4,127774,39,1.7
42101014300,Census Tract 143; Philadelphia County; Pennsylvania,1979,147,7.4,1658,83.8,128,6.5,91,4.6,118239,160,8.1
42101014400,Census Tract 144; Philadelphia County; Pennsylvania,5346,253,4.7,3296,61.7,609,11.4,1315,24.6,131027,613,11.5
42101014500,Census Tract 145; Philadelphia County; Pennsylvania,2218,1542,69.5,202,9.1,79,3.6,341,15.4,33550,434,20.9
42101014600,Census Tract 146; Philadelphia County; Pennsylvania,4745,1924,40.5,1772,37.3,702,14.8,191,4.0,39583,810,32.2
42101014700,Census Tract 147; Philadelphia County; Pennsylvania,3311,1279,38.6,1307,39.5,282,8.5,311,9.4,18041,2326,75.3
42101014800,Census Tract 148; Philadelphia County; Pennsylvania,898,601,66.9,42,4.7,176,19.6,12,1.3,-666666666,317,35.3
42101014900,Census Tract 149; Philadelphia County; Pennsylvania,4318,3399,78.7,202,4.7,37,0.9,436,10.1,29458,1902,44.0
42101015101,Census Tract 151.01; Philadelphia County; Pennsylvania,2161,1929,89.3,143,6.6,42,1.9,161,7.5,45963,626,29.9
42101015102,Census Tract 151.02; Philadelphia County; Pennsylvania,4930,4614,93.6,53,1.1,32,0.6,126,2.6,23924,1841,37.6
42101015200,Census Tract 152; Philadelphia County; Pennsylvania,5975,4948,82.8,305,5.1,351,5.9,386,6.5,54416,1785,29.9
42101015300,Census Tract 153; Philadelphia County; Pennsylvania,5051,2100,41.6,2171,43.0,476,9.4,341,6.8,28037,1973,46.4
42101015600,Census Tract 156; Philadelphia County; Pennsylvania,1664,434,26.1,570,34.3,8,0.5,913,54.9,43750,794,47.9
42101015700,Census Tract 157; Philadelphia County; Pennsylvania,2493,68,2.7,1568,62.9,129,5.2,803,32.2,82500,524,21.2
42101015800,Census Tract 158; Philadelphia County; Pennsylvania,6849,212,3.1,5588,81.6,212,3.1,1051,15.3,123431,498,7.3
42101016001,Census Tract 160.01; Philadelphia County; Pennsylvania,2585,265,10.3,2300,89.0,0,0.0,46,1.8,93890,331,12.8
42101016002,Census Tract 160.02; Philadelphia County; Pennsylvania,4404,148,3.4,3789,86.0,112,2.5,468,10.6,89100,645,14.7
42101016100,Census Tract 161; Philadelphia County; Pennsylvania,6125,316,5.2,4026,65.7,716,11.7,1252,20.4,102794,774,12.6
42101016200,Census Tract 162; Philadelphia County; Pennsylvania,2324,279,12.0,357,15.4,194,8.3,1694,72.9,34677,480,20.7
42101016300,Census Tract 163; Philadelphia County; Pennsylvania,2615,249,9.5,445,17.0,3,0.1,2189,83.7,38660,674,26.3
42101016400,Census Tract 164; Philadelphia County; Pennsylvania,4019,1171,29.1,290,7.2,135,3.4,2694,67.0,20915,1962,48.8
42101016500,Census Tract 165; Philadelphia County; Pennsylvania,2850,2501,87.8,156,5.5,44,1.5,323,11.3,26172,1293,45.4
42101016600,Census Tract 166; Philadelphia County; Pennsylvania,2244,1595,71.1,255,11.4,332,14.8,75,3.3,57432,785,35.2
42101016701,Census Tract 167.01; Philadelphia County; Pennsylvania,3501,3276,93.6,139,4.0,0,0.0,30,0.9,38973,1031,29.4
42101016702,Census Tract 167.02; Philadelphia County; Pennsylvania,2575,2357,91.5,181,7.0,9,0.3,18,0.7,31618,648,25.9
42101016800,Census Tract 168; Philadelphia County; Pennsylvania,3963,3142,79.3,643,16.2,17,0.4,175,4.4,15267,2069,52.3
42101016901,Census Tract 169.01; Philadelphia County; Pennsylvania,3356,3048,90.8,100,3.0,40,1.2,133,4.0,27479,969,28.9
42101016902,Census Tract 169.02; Philadelphia County; Pennsylvania,3925,3626,92.4,0,0.0,0,0.0,42,1.1,22880,1753,44.7
42101017000,Census Tract 170; Philadelphia County; Pennsylvania,3008,2099,69.8,605,20.1,116,3.9,99,3.3,51989,601,21.9
42101017100,Census Tract 171; Philadelphia County; Pennsylvania,3234,2919,90.3,66,2.0,25,0.8,298,9.2,27112,1178,36.4
42101017201,Census Tract 172.01; Philadelphia County; Pennsylvania,2863,2655,92.7,15,0.5,27,0.9,105,3.7,25865,1064,37.9
42101017202,Census Tract 172.02; Philadelphia County; Pennsylvania,4415,4357,98.7,15,0.3,41,0.9,0,0.0,47102,689,15.6
42101017300,Census Tract 173; Philadelphia County; Pennsylvania,2070,1536,74.2,164,7.9,1,0.0,387,18.7,21210,954,47.0
42101017400,Census Tract 174; Philadelphia County; Pennsylvania,2456,2087,85.0,75,3.1,13,0.5,200,8.1,32948,878,36.5
42101017500,Census Tract 175; Philadelphia County; Pennsylvania,6716,1779,26.5,1519,22.6,0,0.0,4750,70.7,30149,3161,47.2
42101017601,Census Tract 176.01; Philadelphia County; Pennsylvania,5031,500,9.9,1333,26.5,0,0.0,4312,85.7,27088,2207,44.5
42101017602,Census Tract 176.02; Philadelphia County; Pennsylvania,4074,794,19.5,209,5.1,304,7.5,2953,72.5,33750,2159,53.6
42101017701,Census Tract 177.01; Philadelphia County; Pennsylvania,3175,679,21.4,479,15.1,18,0.6,2351,74.0,36694,1328,41.8
42101017702,Census Tract 177.02; Philadelphia County; Pennsylvania,4726,575,12.2,831,17.6,116,2.5,3733,79.0,28750,2902,61.7
42101017800,Census Tract 178; Philadelphia County; Pennsylvania,6592,2149,32.6,1459,22.1,0,0.0,2704,41.0,32009,2668,40.6
42101017900,Census Tract 179; Philadelphia County; Pennsylvania,6675,1295,19.4,2190,32.8,82,1.2,3001,45.0,46950,2639,39.7
42101018001,Census Tract 180.01; Philadelphia County; Pennsylvania,2251,25,1.1,1968,87.4,0,0.0,333,14.8,59531,117,5.2
42101018002,Census Tract 180.02; Philadelphia County; Pennsylvania,5381,76,1.4,4104,76.3,136,2.5,316,5.9,68380,475,8.8
42101018300,Census Tract 183; Philadelphia County; Pennsylvania,3998,4,0.1,3846,96.2,35,0.9,32,0.8,81053,511,12.9
42101018400,Census Tract 184; Philadelphia County; Pennsylvania,2202,1,0.0,2047,93.0,18,0.8,52,2.4,57633,372,17.3
42101018801,Census Tract 188.01; Philadelphia County; Pennsylvania,3794,197,5.2,822,21.7,0,0.0,2893,76.3,20010,2953,78.2
42101018802,Census Tract 188.02; Philadelphia County; Pennsylvania,4262,1417,33.2,903,21.2,0,0.0,3344,78.5,45570,2265,53.2
42101019000,Census Tract 190; Philadelphia County; Pennsylvania,7729,822,10.6,1880,24.3,134,1.7,5675,73.4,45814,2480,32.1
42101019100,Census Tract 191; Philadelphia County; Pennsylvania,8628,1268,14.7,1432,16.6,724,8.4,5930,68.7,65048,2171,25.2
42101019200,Census Tract 192; Philadelphia County; Pennsylvania,8914,1998,22.4,1032,11.6,474,5.3,6168,69.2,23239,3962,45.3
42101019501,Census Tract 195.01; Philadelphia County; Pennsylvania,4615,166,3.6,913,19.8,0,0.0,4086,88.5,23031,2014,43.7
42101019502,Census Tract 195.02; Philadelphia County; Pennsylvania,3901,152,3.9,760,19.5,31,0.8,3590,92.0,28205,2375,62.1
42101019700,Census Tract 197; Philadelphia County; Pennsylvania,6746,1061,15.7,979,14.5,249,3.7,5391,79.9,27979,3793,56.2
42101019800,Census Tract 198; Philadelphia County; Pennsylvania,6456,1585,24.6,735,11.4,332,5.1,4361,67.5,37574,1437,22.3
42101019900,Census Tract 199; Philadelphia County; Pennsylvania,5166,2674,51.8,288,5.6,0,0.0,2785,53.9,25810,2488,48.2
